Mobile Name,Rating,Number of Ratings,Storage,Screen,Camera,Battery,Type of Processor,Price
,,,,,,,,
"Redmi K20 Pro (Flame Red, 128 GB)",4.5,"57,285  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.26,999"
,,,,,,,,
"Mi Mix 2 (Black, 128 GB)",4.4,"4,509  ",6 GB RAM | 128 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,3400 mAh Li-polymer Battery,Qualcomm Snapdragon 835 Octa Core 2.5 GHz Processor,"Rs.19,999"
,,,,,,,,
"Redmi K20 Pro (Carbon Black, 128 GB)",4.5,"57,285  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.26,999"
,,,,,,,,
"Mi A3 (More Than White, 64 GB)",4.3,"30,917  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.46 cm (6.088 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.13,999"
,,,,,,,,
"Redmi K20 Pro (Pearl White, 128 GB)",4.5,"57,285  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.26,999"
,,,,,,,,
"Mi A3 (Not just Blue, 64 GB)",4.3,"30,917  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.46 cm (6.088 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.13,999"
,,,,,,,,
"Mi A3 (More Than White, 128 GB)",4.3,"10,171  ",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.44 cm (6.08 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.14,999"
,,,,,,,,
"Mi A3 (Not just Blue, 128 GB)",4.3,"10,171  ",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.44 cm (6.08 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.16,544"
,,,,,,,,
"Redmi Note 7 Pro (Space Black, 64 GB)",4.5,"2,86,352  ",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.12,999"
,,,,,,,,
"Redmi K20 (Carbon Black, 64 GB)",4.5,"46,017  ",6 GB RAM | 64 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"Rs.21,999"
,,,,,,,,
"Redmi K20 Pro (Flame Red, 256 GB)",4.5,"12,700  ",8 GB RAM | 256 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.29,999"
,,,,,,,,
"Redmi Note 8 (Moonlight White, 128 GB)",4.4,"10,270  ",6 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.15,999"
,,,,,,,,
"Redmi Note 8 (Space Black, 128 GB)",4.4,"10,270  ",6 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.14,989"
,,,,,,,,
"Redmi Note 8 (Neptune Blue, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
"Redmi Note 8 (Space Black, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
"Redmi Note 8 (Neptune Blue, 128 GB)",4.4,"10,270  ",6 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.15,866"
,,,,,,,,
"Redmi Note 8 (Moonlight White, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
"Redmi Note 8 (Cosmic Purple, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Display,48MP Rear Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
